Index,Mad_A,Mad_B,Mad_G,Sal_J,Esc_Q,Sev_R,Phil_U,Sev_Z,Chapitre, Type, Conserver, Revoir,Mad_A,Mad_B,Mad_G,Sal_J,Esc_Q,Sev_R,Phil_U,Sev_Z,Notes
48,fazienda,fazienda,fazienda,fazienda,fazienda,guerra,guerra,fazienda,1,glose,Oui, Non,1,1,1,1,1,2,2,1,
49,o,o,ø,o,o,o,e,o,1,glose,Non, Non,2,2,0,2,2,2,1,2,
50,ageo,Achior,Agior,Agior,Achior,archior,ø,ageo,1,glose,Oui, Non,2,3,1,1,3,4,0,2,
51,al,a,al,a,a,a,ø,a,1,glose,Non, Non,1,2,1,2,2,2,0,2,
52,sesto,vi°,vi°,vi°,vi°,sesto,ø,vj,1,glose,Non, Non,2,2,2,2,2,2,0,1,
53,capitulo,capítulo,capítulo,capítulo,capítulo,capítulo,ø,c,1,glose,Non, Non,2,2,2,2,2,2,0,1,
54,que,que,que,que,que,et,que,que,1,glose,Non, Non,1,1,1,1,1,2,1,1,
55,alguna,alguna,ninguna,ninguna,alguna,nenguna,ninguna,ninguna,1,glose,Non, Non,1,1,2,2,1,2,2,2,
56,desto,deste,deste,deste,deste,deste,deste,deste,1,glose,Non, Non,2,1,1,1,1,1,1,1,
57,enel,en,en,en,en,en,en,en,1,glose,Non, Non,2,1,1,1,1,1,1,1,
58,leuitico,Levítico,Levítico,Levítico,Levito,Leuítico,Bevito,leuitico,1,glose,Non, Non,1,1,1,1,3,1,2,1,
59,a,xxvii°,a,xx°vii°,xxviii°,.xxvii,xxvii°,a,1,glose,Non, Non,3,1,3,1,2,1,1,3,
60,veynte,ø,veynte,ø,ø,ø,ø,viente,1,glose,Non, Non,1,0,1,0,0,0,0,2,
61,ca,ca,que,ca,ca,que,ca,ca,1,glose,Non, Non,1,1,2,1,1,2,1,1,
62,con,convusco,con,con,conbusco,conbusco,convusco,con,1,glose,Non, Non,2,1,2,2,3,3,1,2,
63,vi°,vi,.vi°.,vi°,vi°,.vii.,vii°,sexto,1,glose,Non, Non,3,3,3,3,3,1,1,2,
64,achan,Atheor,Achán,achar,Atheor,Athor,Cahor,achan,1,glose,Non, Non,5,2,5,3,2,1,4,5,
65,qujen,que,quien,que,que,que,que,quien,1,glose,Non, Non,1,2,1,2,2,2,2,1,
66,acometer,acometer,acometer,cometer,acometer,acometer,cometer,acometer,1,traduction,Non, Non,1,1,1,2,1,1,2,1,
67,conujeneles,conviéneles,convenibles,conviéneles,conviéneles,conviéneles,conviéneles,conuieneles,1,traduction,Non, Non,2,2,1,2,2,2,2,2,
68,contiene,contiene,contiene,contiene,contiene,conviene,conviene,contiene,1,traduction,Oui, Non,1,1,1,1,1,2,2,1,
69,desta,desta,desta,esta,desta,desta,ø,desta,1,traduction,Non, Non,1,1,1,2,1,1,0,1,
70,a,a,al,a,a,a,a,a,1,traduction,Non, Non,1,1,2,1,1,1,1,1,
71,es,es,es,es,et,es,es,es,1,traduction,Non, Non,2,2,2,2,1,2,2,2,
72,lidiar,vida,lidiar,lidiar,vida,lidiar,delídica,lidiar,1,traduction,Oui, Non,1,2,1,1,2,1,3,1,
73,a,a,a,a,a,al,al,a,1,traduction,Non, Non,1,1,1,1,1,2,2,1,
74,Ca,ca,Ca,ca,ca,Ca,que,Ca,1,traduction,Non, Non,2,2,2,2,2,2,1,2,
75,asi,asý,asý,assí,si,sy,asý,assy,1,traduction,Non, Non,1,1,1,1,2,2,1,1,
76,ayan,sean,ayan,han,han,an,sean,han,1,traduction,Non, Non,1,2,1,4,4,3,2,4,
77,o,o,o,o,o,a,a,o,1,traduction,Non, Non,1,1,1,1,1,2,2,1,
78,batalla,batalla,batalla,batalla,batalla,cavallería,cavallería,batalla,1,traduction,Oui, Non,1,1,1,1,1,2,2,1,
79,caualleria,cavallería,cavallería,cavallería,cavallero,cavallería,cavallería,caualleria,1,traduction,Oui, Non,1,1,1,1,2,1,1,1,
80,el,el,el,el,el,el,al,el,1,traduction,Non, Non,1,1,1,1,1,1,2,1,
81,al,al,al,al,al,al,a,al,1,traduction,Non, Non,1,1,1,1,1,1,2,1,
82,por,por,por,por,por,a,por,por,1,traduction,Non, Non,1,1,1,1,1,2,1,1,
83,de,de,de,de,de,ø,desta,de,1,traduction,Non, Non,1,1,1,1,1,0,2,1,
84,çinco,çinco,çinco,çinco,çinco,çinco,çinco,cinco,1,traduction,Non, Non,1,1,1,1,1,1,1,2,
85,o,o,o,o,o,e,e,o,1,traduction,Non, Non,1,1,1,1,1,2,2,1,
86,si,sý,sí,sí,sí,sý,sý,sy,1,traduction,Non, Non,2,1,1,1,1,1,1,1,
87,ø,mejor,ø,ø,menor,ø,ø,ø,1,traduction,Non, Non,0,1,0,0,2,0,0,0,
88,en,en,en,en,en,es,en,en,1,traduction,Non, Non,1,1,1,1,1,2,1,1,
89,omme,omne,omne,omme,omme,omme,commo,ombre,1,traduction,Non, Non,1,1,1,1,1,1,2,1,
90,guiar,guiar,guiar,guiar,giar,,guiarse,guiar,1,traduction,Non, Non,2,2,2,2,2,1,3,2,
91,el,el,el,el,el,el,al,el,1,traduction,Non, Non,1,1,1,1,1,1,2,1,
92,o,o,e,o,o,et,o,o,1,traduction,Non, Non,3,3,2,3,3,1,3,3,
93,Ca,Ca,ca,ca,ca,ca,e,Ca,1,traduction,Non, Non,2,2,2,2,2,2,1,2,
94,ha,ha,ha,ha,ha,a,ha,ha,1,traduction,Non, Non,1,1,1,1,1,2,1,1,
95,e,e,et,e,o,e,e,e,1,traduction,Non, Non,2,2,1,2,3,2,2,2,
96,el,mayor,el,el,mayor,mayor,mayor,el,1,traduction,Non, Non,2,1,2,2,1,1,1,2,
97,e,e,e,e,o,e,e,e,1,traduction,Non, Non,2,2,2,2,1,2,2,2,
98,o,e,o,o,o,o,o,o,1,traduction,Non, Non,1,2,1,1,1,1,1,1,
99,o,o,e,o,o,e,o,o,1,traduction,Non, Non,1,1,2,1,1,2,1,1,
100,al,al,al,al,al,la,al,al,1,traduction,Non, Non,1,1,1,1,1,2,1,1,
101,si,sý,sí,sí,sí,sy,sý,sy,1,traduction,Non, Non,1,1,1,1,1,1,1,1,
102,enel,en,en,en,en,en,en,en,1,traduction,Non, Non,2,1,1,1,1,1,1,1,
103,padre,padre,padre,padre,padre,padre,persona,padre,1,traduction,Oui, Non,1,1,1,1,1,1,2,1,
104,muchas,muchas,muchas,muchas,muchas,muchas,syngular,muchas,1,traduction,Oui, Non,1,1,1,1,1,1,2,1,
105,terçero,terçero,iii°,iii°,terçero,terçero,segundo,tercero,1,traduction,Non, Non,1,1,1,1,1,1,2,1,
106,mostrole,mostró,mostróle,mostróle,mostró,muestra,mostró,mostrole,1,traduction,Non, Non,1,3,1,1,3,2,3,1,
107,el,el,el,el,el,al,el,el,1,traduction,Non, Non,1,1,1,1,1,2,1,1,
108,ha,ha,ha,ha,ha,a,ha,ha,1,traduction,Non, Non,1,1,1,1,1,2,1,1,
109,estas,estas,estas,estas,estas,destas,destas,estas,1,traduction,Non, Non,1,1,1,1,1,2,2,1,
110,saber,aver,saber,saber,aver,aber,aver,saber,1,traduction,Oui, Non,1,2,1,1,2,2,2,1,
111,al,el,al,al,el,el,el,al,1,traduction,Non, Non,2,1,2,2,1,1,1,2,
112,polithica,poliçia,políthica,política,política,,política,politica,1,traduction,Oui, Non,1,2,3,3,3,3,3,3,
113,guiar,governar,guiar,governar,giar,guiar,guiar,guiar,1,traduction,Oui, Non,2,1,2,1,3,2,2,2,
114,çibdadanos,çibdadanos,çibdadanos,çibdadanos,cibdadanos,çibdades,çibdades,cibdadanos,1,traduction,Non, Non,2,2,2,2,2,1,1,2,
115,sepa,,sepa,sepa,siga,sepa,sepa,sepa,1,traduction,Oui, Non,1,2,1,1,2,1,1,1,
116,obedesçe,ha,obedesçe,obedeçe,de,obedesçe,obedeçe,obedesce,1,traduction,Non, Non,3,1,3,3,2,3,3,3,
117,ø,ø,ø,ø,ø,en,de,ø,1,traduction,Non, Non,0,0,0,0,0,2,1,0,
118,departese,depártese,depártese,depártese,departe,departe,depártese,departese,1,traduction,Non, Non,2,2,2,2,1,1,2,2,
119,si,sý,sí,sí,sí,sý,sý,sy,1,traduction,Non, Non,1,1,1,1,1,1,1,2,
120,conuiene,conviénele,conviene,conviene,conviénele,conviénele,conviénele,conuiene,1,traduction,Non, Non,1,2,1,1,2,2,2,1,
121,por,para,por,por,para,por,por,por,1,traduction,Non, Non,2,1,2,2,1,2,2,2,
122,es,es,es,es,es,,ø,es,1,traduction,Non, Non,1,1,1,1,1,2,0,1,
123,de,del,de,de,del,de,de,de,1,traduction,Non, Non,2,1,2,2,1,2,2,2,
124,quinta,quinta,quinta,quinta,vº,quinta,v°,.v.,1,traduction,Non, Non,3,3,3,3,2,3,1,1,
125,dicha,derechas,dicha,dicha,drcha,dicha,dicha,dicha,1,traduction,Non, Non,2,3,2,2,1,2,2,2,
126,caualleril,cavalleril,cavallería,cavalleril,ría,cavalleril,cavalleril,caualleril,1,traduction,Non, Non,1,1,2,1,2,1,1,1,
127,e,o,o,o,o,o,o,o,1,traduction,Non, Non,2,1,1,1,1,1,1,1,
128,deue,natural,deve,deve,deve,deve,deve,deue,1,traduction,Non, Non,2,1,2,2,2,2,2,2,
129,ser,ca,ser,ser,ser,ser,ser,ser,1,traduction,Non, Non,1,2,1,1,1,1,1,1,
130,gouerrnamiento,governamiento,govierno,governamiento,governamiento,governamiento,governador,gouernamiento,1,traduction,Non, Non,1,1,2,1,1,1,3,1,
131,por,por,por,por,por,por,por,porque,1,traduction,Non, Non,1,1,1,1,1,1,1,2,
132,cada,todo,todo,cada,todo,cada,cada,cada,1,traduction,Oui, Non,2,1,1,2,1,2,2,2,
133,asi,asý,así,así,si,asy,asý,assy,1,traduction,Non, Non,1,1,1,1,2,1,1,1,
134,omme,one,omne,omme,omme,omme,omne,ombre,1,traduction,Non, Non,2,1,2,2,2,2,2,2,
135,por,porque,porque,porque,porque,porque,porque,por,1,traduction,Non, Non,2,1,1,1,1,1,1,2,
136,porque,por,porque,porque,porque,porque,por,por,1,traduction,Non, Non,1,2,1,1,1,1,2,2,
137,cibdades,çibdadanos,çibdades,çibdades,çibdadanos,çibdadanos,çibdades,cibdades,1,traduction,Oui, Non,1,2,1,1,2,2,1,1,
138,o,o,o,o,e,o,o,o,1,traduction,Non, Non,2,2,2,2,1,2,2,2,
139,para,por,para,para,por,para,para,para,1,traduction,Non, Non,2,1,2,2,1,2,2,2,
140,en,en,en,en,en,el,en,en,1,traduction,Non, Non,1,1,1,1,1,2,1,1,
141,o,o,o,o,o,et,e,o,1,traduction,Non, Non,3,3,3,3,3,1,2,3,
142,para,para,para,para,por,para,para,para,1,traduction,Non, Non,2,2,2,2,1,2,2,2,
143,aredrar,arredrar,arredrar,arredrar,arredrar,ordenar,arredrar,arredrar,1,traduction,Oui, Non,2,2,2,2,2,1,2,2,
144,al,el,al,el,el,el,ø,al,1,traduction,Non, Non,1,2,1,2,2,2,0,1,
145,asy,asý,así,así,así,sy,ø,assy,1,traduction,Non, Non,1,1,1,1,1,2,0,1,
146,es,es,es,es,ha,es,ø,es,1,traduction,Non, Non,1,1,1,1,2,1,0,1,
147,han,han,ha,han,han,sean,ø,han,1,traduction,Non, Non,3,3,1,3,3,2,0,3,
148,de,de,de,de,de,del,ø,de,1,traduction,Non, Non,1,1,1,1,1,2,0,1,
149,o,e,o,o,e,o,o,o,1,traduction,Non, Non,2,1,2,2,1,2,2,2,
150,que,aquí,qué,qué,qué,qué,qué,que,1,traduction,Non, Non,1,2,1,1,1,1,1,1,
151,que,que,que,que,e,ca,que,que,1,traduction,Non, Non,1,1,1,1,2,3,1,1,
152,asi,asý,así,así,así,asy,es,assy,1,traduction,Non, Non,1,1,1,1,1,1,2,1,
153,regno,rreyno,regno,regno,rrey,rregno,Reyno,reyno,1,traduction,Oui, Non,2,2,2,2,1,2,2,2,
154,e,e,e,e,e,o,o,e,1,traduction,Non, Non,1,1,1,1,1,2,2,1,
155,o,o,o,o,o,o,e,o,1,traduction,Non, Non,1,1,1,1,1,1,2,1,
156,o,o,o,o,e,e,o,o,1,traduction,Non, Non,2,2,2,2,1,1,2,2,
157,discordia,discordia,discordia,discordia,discordia,discordia,sabiduría,discordia,1,traduction,Oui, Non,1,1,1,1,1,1,2,1,
158,quier,quier,quier,quier,quier,quier,quiere,quier,1,traduction,Non, Non,1,1,1,1,1,1,2,1,
159,o,o,o,o,o,o,e,o,1,traduction,Non, Non,1,1,1,1,1,1,2,1,
160,han,han,an,han,han,sean,han,han,1,traduction,Non, Non,2,2,2,2,2,1,2,2,
161,acometer,acometer,acometer,cometer,acometer,acometer,acometer,acometer,1,traduction,Non, Non,1,1,1,2,1,1,1,1,
162,tercera,iii,iii°,iii°,iiij°,terçera,iii°,tercera,1,traduction,Non, Non,2,2,2,2,1,2,2,2,
163,vezes,vezes,vezes,vegadas,ø,vezes,vezes,vezes,1,traduction,Non, Non,2,2,2,1,0,2,2,2,
164,toda,toda,toda,toda,toda,la,la,toda,1,traduction,Non, Non,1,1,1,1,1,2,2,1,
165,el,la,el,el,la,sola,la,el,1,traduction,Non, Non,1,3,1,1,3,2,3,1,
166,Empero,enpero,pero,Enpero,enpero,enpero,enpero,Empero,1,traduction,Non, Non,1,1,2,1,1,1,1,1,
167,prudençia,providençia,prudençia,prudençia,providençia,prudençia,prudençia,prudencia,1,traduction,Oui, Non,2,1,2,2,1,2,2,2,
168,E,ca,Et,e,ca,ca,ca,E,1,traduction,Non, Non,2,3,1,2,3,3,3,2,
169,en,en,en,en,en,en,en,con,1,traduction,Non, Non,1,1,1,1,1,1,1,2,
170,do,do,do,do,ø,ø,do,que,2,,Non, Non,1,1,1,1,0,0,1,2,
171,muestra,muestra,muestra,muestra,ø,ø,muestra,demuestra,2,,Non, Non,1,1,1,1,0,0,1,2,
172,do,do,o,do,do,ø,ø,ø,2,,Non, Non,1,1,2,1,1,0,0,0,
173,ø,ø,que,ø,ø,donde,donde,do,2,,Non, Non,0,0,2,0,0,1,1,1,
174,escoger,escoger,escoger,escojer,acojer,escoger,escoger,escojer,2,,Oui, Non,2,2,2,2,1,2,2,2,
175,ø,o,ø,ø,ø,o,e,ø,2,,Non, Non,0,2,0,0,0,2,1,0,
176,sentençia,sentençia,sentençia,sentençia,entençion,sentençia,sentençia,sentencia,2,traduction,Oui, Non,1,1,1,1,2,1,1,1,
177,saber,saber,saber,saber,saber,notar,notar,saber,2,traduction,Oui, Non,1,1,1,1,1,2,2,1,
178,menester,menester,menester,menester,neçesarias,menester,menester,menester,2,traduction,Non, Non,2,2,2,2,1,2,2,2,
179,armas,armas,armas,armas,armas,artes,armas,armas,2,traduction,Oui, Non,1,1,1,1,1,2,1,1,
180,aquellas,aquellas,aquéllas,aquellas,aquellas,muchas,muchas,aquellas,2,traduction,Oui, Non,2,2,2,2,2,1,1,2,
181,do,do,do,do,do,de,do,do,2,traduction,Non, Non,1,1,1,1,1,2,1,1,
182,e,e,e,e,e,o,o,e,2,traduction,Non, Non,1,1,1,1,1,2,2,1,
183,e,e,e,e,e,o,o,e,2,traduction,Non, Non,1,1,1,1,1,2,2,1,
184,engeniosos,engeñosos,engeniosos,ingeniosos,engeñosos,engañosos,engeñosos,ingeniosos,2,traduction,Oui, Non,1,2,1,2,2,3,2,2,
185,Mas,Mas,Mas,Mas,mas,e,Mas,Mas,2,traduction,Non, Non,1,1,1,1,1,2,1,1,
186,ponela,pónela,pónela,pónela,pone,pónela,pónela,ponela,2,traduction,Non, Non,1,1,1,1,2,1,1,1,
187,sabidores,sabidoras,sabidoras,sabidoras,sabidoras,sabidoras,sabidoras,sabidores,2,traduction,Non, Non,2,1,1,1,1,1,1,2,
188,han,son,an,han,son,an,han,han,2,traduction,Non, Non,2,1,2,2,1,2,2,2,
189,ende,ende,ø,ende,ende,eso,eso,ende,2,traduction,Non, Non,1,1,0,1,1,2,2,1,
190,fuerça,fuertes,ø,fuerça,fuertes,fuerça,fuerça,fuerça,2,traduction,Non, Non,2,1,0,2,1,2,2,2,
191,Ca,ca,ø,Ca,e,ca,ca,Ca,2,traduction,Non, Non,1,1,0,1,2,1,1,1,
192,partes,partes,ø,partes,partes,partes,batallas,partes,2,traduction,Non, Non,2,2,0,2,2,2,1,2,
193,Ca,ca,Mas,Ca,Ca,ca,ca,Ca,2,traduction,Non, Non,1,1,2,1,1,1,1,1,
194,seteno,vii,seteno,vii°,vii,seteno,vii°,seteno,2,traduction,Non, Non,1,1,1,1,1,1,1,1,
195,mas,más,más,muy,más,más,más,mas,2,traduction,Non, Non,2,2,2,1,2,2,2,2,
196,sol,sol,sol,sol,sol,,sol,sol,2,traduction,Non, Non,1,1,1,1,1,2,1,1,
197,si,sy,si,si,si,syn,sy,si,2,traduction,Non, Non,2,2,2,2,2,1,2,2,
198,alongadas,alongados,alongadas,alongadas,arredradas,alongados,alongadas,alongadas,2,traduction,Oui, Non,1,2,1,1,3,2,1,1,
199,aredradas,arredrados,arredradas,arredradas,allegados,allegados,ø,arredradas,2,traduction,Oui, Non,2,3,2,2,1,1,0,2,
200,porque,porque,porque,porque,porque,por,por,porque,2,traduction,Non, Non,1,1,1,1,1,2,2,1,
201,el,el,el,el,el,quel,quel,el,2,traduction,Non, Non,1,1,1,1,1,2,2,1,
202,muy,muy,muy,muy,muy,más,más,muy,2,traduction,Non, Non,1,1,1,1,1,2,2,1,
203,menor,mejor,mejor,mejor,mejor,mejor,mejor,mejor,2,traduction,Oui, Non,2,1,1,1,1,1,1,1,
204,alongados,arredrados,alongados,alongados,alongados,alongados,alongados,alongados,2,traduction,Oui, Non,1,2,1,1,1,1,1,1,
205,de,de,e,de,de,de,de,de,2,traduction,Non, Non,1,1,2,1,1,1,1,1,
206,allegados,çercanos,allegados,allegados,çercanos,alongados,alegados,allegados,2,traduction,Oui, Non,1,3,1,1,3,4,2,1,
207,deuese,dévese,dévese,dévese,dévese,deve,dévese,deuese,2,traduction,Non, Non,2,2,2,2,2,1,2,2,
208,artes,tierras,artes,artes,tierras,artes,artes,artes,2,traduction,Non, Non,2,1,2,2,1,2,2,2,
209,quatro,quatro,iiii°,quatro,quatro,quatro,quatro,quatro,2,traduction,Non, Non,1,1,2,1,1,1,1,1,
210,de,en,de,de,en,en,en,de,2,traduction,Non, Non,2,1,2,2,1,1,1,2,
211,grandes,grandes,grandes,grandes,rrezios,grandes,grandes,grandes,2,traduction,Oui, Non,2,2,2,2,1,2,2,2,
212,cometer,acometer,acometer,acometer,acometer,acometer,acometer,acometer,2,traduction,Non, Non,2,1,1,1,1,1,1,1,
213,a,a,a,a,de,a,a,a,2,traduction,Non, Non,2,2,2,2,1,2,2,2,
214,condiçion,condiçión,condición,condición,condiçión,condiçión,conclusión,condicion,2,traduction,Oui, Non,2,2,2,2,2,2,1,2,
215,que,porque,que,que,porque,que,que,porque,2,traduction,Non, Non,2,1,2,2,1,2,2,1,
216,en,en,en,en,de,en,en,en,2,traduction,Non, Non,2,2,2,2,1,2,2,2,
217,animalias,animales,animalias,animalias,animalias,animalias,animalias,animalias,2,traduction,Non, Non,1,2,1,1,1,1,1,1,
218,golpes,golpes,golpes,golpes,golpes,peligros,peligros,golpes,2,traduction,Oui, Non,1,1,1,1,1,2,2,1,
219,condiçion,condiçión,condiçión,condiçión,condiçión,condiçión,conclusión,condicion,2,traduction,Oui, Non,2,2,2,2,2,2,1,2,
220,acometen,acometen,acometen,acometen,acometen,acometen,acometen,cometen,2,traduction,Non, Non,1,1,1,1,1,1,1,2,
221,Ca,et,Ca,Ca,e,Ca,ca,Ca,2,traduction,Non, Non,1,3,1,1,2,1,1,1,
222,tamaño,tamaño,tamaño,tamaño,tamaño,tamaño,tamaño,maño,2,traduction,Non, Non,1,1,1,1,1,1,1,2,
223,aun,aun,aun,aún,aun,aún,aún,avn,2,traduction,Non, Non,1,1,1,1,1,1,1,2,
224,mayor,mayor,mayor,mayor,mayor,mayor,mayor,mejor,2,traduction,Non, Non,1,1,1,1,1,1,1,2,
225,,çiervos,çiervos,çiervos,siervos,çiervos,çiervos,cieruos,2,traduction,Non, Non,1,1,1,1,2,1,1,1,
226,a,a,a,a,a,de,de,a,2,traduction,Non, Non,1,1,1,1,1,2,2,1,
227,sofrir,sofrir,sofrir,sofrir,foyr,sofrir,sofrir,sofrir,2,traduction,Oui, Non,2,2,2,2,1,2,2,2,
228,E,et,Et,e,e,Ca,e,E,2,traduction,Non, Non,2,3,3,2,2,1,2,2,
229,Ca,ca,ca,ca,ca,ca,por,Ca,2,traduction,Non, Non,1,1,1,1,1,1,2,1,
230,suerte,arte,suerte,suerte,arte,los,los,suerte,2,traduction,Oui, Non,1,3,1,1,3,2,2,1,
231,les,les,les,los,les,les,les,les,2,traduction,Non, Non,1,1,1,2,1,1,1,1,
232,hauer,tener,aver,aver,tener,aver,aver,auer,2,traduction,Non, Non,2,1,2,2,1,2,2,2,
233,suelen,usan,suelen,suelen,,suelen,suelen,suelen,2,traduction,Non, Non,2,1,2,2,1,2,2,2,
234,las,sus,las,las,sus,sus,sus,las,2,traduction,Non, Non,2,1,2,2,1,1,1,2,
235,o,e,o,o,e,o,e,o,2,traduction,Non, Non,2,1,2,2,1,2,1,2,
236,o,e,o,ø,e,o,e,o,2,traduction,Non, Non,2,1,2,0,1,2,1,2,
237,aguias,agujas,agujas,ø,ø,agujas,agujas,agujas,2,traduction,Oui, Non,1,2,2,0,0,2,2,2,
238,aguia,aguja,aguja,aguja,aguja,aguja,aguja,aguja,2,traduction,Non, Non,2,1,1,1,1,1,1,1,
239,lança,lança,lança,lançeta,lança,lança,lança,lança,2,traduction,Non, Non,1,1,1,2,1,1,1,1,
240,e,e,e,e,e,o,e,e,2,traduction,Non, Non,1,1,1,1,1,2,1,1,
241,a,al,al,al,al,al,al,al,2,traduction,Non, Non,2,1,1,1,1,1,1,1,
242,esas,estas,esas,esas,estas,estas,estas,essas,2,traduction,Non, Non,2,3,2,2,3,3,3,1,
243,razones,rrazones,razones,razones,condiçiones,rrazones,razones,razones,2,traduction,Oui, Non,2,2,2,2,1,2,2,2,
244,apotecarios,apotecarios,apotecarios,apotecarios,boticarios,buticarios,boticarios,apotecarios,2,traduction,Non, Non,2,2,2,2,1,1,1,2,
