A,B,G,J,Q,R,Z,U,Analyse, Chapitre, Type, Conserver, Revoir
65,gouernamjento,governamiento,governamiento,governamiento,governamiento,governamiento,gouernamiento,governamiento,#graphique,1,traduction,Non, Non
66,del,del,del,del,del,del,del,del,#not_apparat,1,traduction,Non, Non
67,regno,rregno,regno,regno,rreyno,rregno,reyno,regno,#graphique,1,traduction,Non, Non
68,e,e,et,e,e,e,e,e,#filtre,1,traduction,Non, Non
69,de,de,de,de,de,de,de,de,#not_apparat,1,traduction,Non, Non
70,la,la,la,la,la,la,la,la,#not_apparat,1,traduction,Non, Non
71,cibdat,çibdat,çibdat,çibdat,çibdat,çibdat,cibdad,çibdat,#graphique,1,traduction,Non, Non
72,E,et,et,e,et,et,E,e,#filtre,1,traduction,Non, Non
73,en,en,en,en,en,en,en,en,#not_apparat,1,traduction,Non, Non
74,la,la,la,la,la,la,la,la,#not_apparat,1,traduction,Non, Non
75,segunda,segunda,ii°,segunda,segunda,segunda,segunda,segunda,#graphique,1,traduction,Non, Non
76,parte,parte,parte,parte,ø,parte,parte,parte,#omission,1,traduction,Non, Non
77,mostro,mostró,mostró,mostró,mostró,mostró,mostro,mostró,#normalisation,1,traduction,Non, Non
78,en,en,en,en,en,en,en,en,#not_apparat,1,traduction,Non, Non
79,commo,commo,commo,como,commo,commo,como,commo,#morphosyntactique,1,traduction,Non, Non
80,se,se,se,se,se,sea,se,se,#lexicale,1,traduction,Non, Non
81,ha,ha,ha,ha,ha,ø,ha,ha,#omission,1,traduction,Non, Non
82,de,de,de,de,de,de,de,de,#not_apparat,1,traduction,Non, Non
83,gouerrnar,governar,governar,governar,governar,governar,gouernar,governar,#graphique,1,traduction,Non, Non
84,la,la,la,la,la,la,la,la,#not_apparat,1,traduction,Non, Non
85,cibdat,çibdat,çibdat,çibdat,çibdat,cibdat,cibdad,çibdat,#graphique,1,traduction,Non, Non
86,e,e,et,e,et,e,e,e,#filtre,1,traduction,Non, Non
87,el,el,el,el,el,el,el,el,#not_apparat,1,traduction,Non, Non
88,regno,rregno,regno,regno,rreyno,rregno,reyno,reyno,#graphique,1,traduction,Non, Non
89,en,en,en,en,en,en,en,en,#not_apparat,1,traduction,Non, Non
90,tienpo,tienpo,tienpo,tiempo,tienpo,tienpo,tienpo,tienpo,#graphique,1,traduction,Non, Non
91,de,de,de,de,de,de,de,de,#not_apparat,1,traduction,Non, Non
92,paz,paz,paz,paz,paz,paz,paz,paz,#not_apparat,1,traduction,Non, Non
93,segunt,según,segund,según,segunt,segund,segund,segund,#graphique,1,traduction,Non, Non
94,la,la,la,la,la,la,la,la,#not_apparat,1,traduction,Non, Non
95,openion,opinión,opinión,opinión,opinión,opinión,opinion,opinión,#graphique,1,traduction,Non, Non
96,de,de,de,de,de,de,de,de,#not_apparat,1,traduction,Non, Non
97,aristotiles,Aristótiles,Aristótiles,Aristótiles,aristótiles,Aristótiles,aristotiles,Aristótiles,#normalisation,1,traduction,Non, Non
98,Aqui,aquí,aquí,aquí,aquí,ø,Aqui,aquí,#normalisation,1,traduction,Non, Non
99,ya,ø,ya,ya,ø,ø,ya,ø,#omission,1,traduction,Non, Non
100,en,en,en,en,en,en,en,en,#not_apparat,1,traduction,Non, Non
101,esta,esta,esta,esta,esta,esta,esta,esta,#not_apparat,1,traduction,Non, Non
102,terçera,terçera,terçera,iii°,terçera,terçera,tercera,iii°,#graphique,1,traduction,Non, Non
103,parte,parte,parte,parte,parte,parte,parte,parte,#not_apparat,1,traduction,Non, Non
104,muestra,muestra,muestra,muestra,muestra,muestra,muestra,muestra,#not_apparat,1,traduction,Non, Non
105,ø,ya,ø,ø,ø,ya,ø,ya,#omission,1,traduction,Non, Non
106,en,en,en,en,en,en,en,en,#not_apparat,1,traduction,Non, Non
107,como,commo,commo,commo,commo,commo,como,commo,#morphosyntactique,1,traduction,Non, Non
108,se,se,se,se,se,se,se,se,#not_apparat,1,traduction,Non, Non
109,han,an,han,han,ha,a,han,ha,#lexicale,1,traduction,Non, Non
110,de,de,de,de,de,de,de,de,#not_apparat,1,traduction,Non, Non
111,gouerrnar,governar,governar,governar,governar,governar,gouernar,governar,#graphique,1,traduction,Non, Non
112,en,en,en,en,en,en,en,en,#not_apparat,1,traduction,Non, Non
113,tienpo,tienpo,tienpo,tiempo,tienpo,tienpo,tienpo,tienpo,#graphique,1,traduction,Non, Non
114,de,de,de,de,de,de,de,de,#not_apparat,1,traduction,Non, Non
115,guerra,guerra,guerra,guerra,guerra,guerra,guerra,guerra,#not_apparat,1,traduction,Non, Non
116,E,Et,Et,E,e,et,E,e,#filtre,1,traduction,Non, Non
117,asy,asý,ansý,assý,asy,asy,assi,asý,#graphique,1,traduction,Non, Non
118,en,en,en,en,en,en,en,en,#not_apparat,1,traduction,Non, Non
119,toda,toda,toda,toda,toda,toda,todo,toda,#morphosyntactique,1,traduction,Non, Non
120,esta,esta,esta,esta,esta,esta,esta,esta,#not_apparat,1,traduction,Non, Non
121,parte,parte,parte,parte,parte,parte,parte,parte,#not_apparat,1,traduction,Non, Non
122,non,non,non,non,non,non,no,non,#graphique,1,traduction,Non, Non
123,fabla,fabla,fabla,fabla,fabla,fabla,fabla,fabla,#not_apparat,1,traduction,Non, Non
124,de,de,de,de,ø,de,de,de,#omission,1,traduction,Non, Non
125,otra,otra,otra,otra,otra,otra,otra,otra,#not_apparat,1,traduction,Non, Non
126,guisa,cosa,guisa,cosa,cosa,cosa,cosa,cosa,#lexicale,1,traduction,Non, Non
127,sinon,synon,sinon,sinon,sinon,synon,sino,synon,#graphique,1,traduction,Non, Non
128,de,de,de,de,de,de,de,de,#not_apparat,1,traduction,Non, Non
129,batalla,batalla,batalla,batalla,batalla,batalla,batalla,batalla,#not_apparat,1,traduction,Non, Non
130,e,o,ø,e,et,e,e,e,#lexicale,1,traduction,Non, Non
131,de,de,ø,de,de,de,de,de,#not_apparat,1,traduction,Non, Non
132,guerra,guerra,ø,guerra,guerra,guerra,guerra,guerra,#not_apparat,1,traduction,Non, Non
133,ø,commo,ø,commo,et,commo,ø,commo,#lexicale,1,traduction,Non, Non
134,ø,ø,ø,ø,de,ø,ø,ø,#not_apparat,1,traduction,Non, Non
135,Commo,ø,commo,ø,commo,ø,como,ø,#graphique,1,traduction,Non, Non
136,deuen,deven,deven,deven,deven,deven,deuen,deven,#graphique,1,traduction,Non, Non
137,los,los,los,los,los,los,los,los,#not_apparat,1,traduction,Non, Non
138,reyes,rreyes,reyes,reyes,rreyes,rreyes,reyes,reyes,#graphique,1,traduction,Non, Non
139,tomarla,tomarla,tomarla,tomarla,tomarla,tomarla,tomarla,tomarla,#not_apparat,1,traduction,Non, Non
140,o,o,o,o,o,e,o,e,#lexicale,1,traduction,Non, Non
141,resçebirla,resçebirla,resçebirla,reçebirla,rreçebirla,rresçebirla,rescebirla,reçebirla,#graphique,1,traduction,Non, Non
142,E,Et,Et,E,E,Et,E,ø,#omission #filtre,1,glose,Non, Non
143,aqui,aquí,aquí,aquí,aquí,aquí,aqui,Aquí,#normalisation,1,glose,Non, Non
144,conviene,conviene,conviene,conviene,conviene,conviene,conuiene,conviene,#graphique,1,glose,Non, Non
145,de,de,de,de,de,de,de,de,#not_apparat,1,glose,Non, Non
146,notar,notar,notar,notar,notar,notar,notar,notar,#not_apparat,1,glose,Non, Non
147,ø,que,que,ø,que,que,que,que,#omission,1,glose,Non, Non
148,nunca,nunca,nunca,nunca,nunca,nunca,nunca,nunca,#not_apparat,1,glose,Non, Non
149,los,los,los,los,los,los,los,los,#not_apparat,1,glose,Non, Non
150,reyes,rreyes,reyes,reyes,rreyes,rreyes,reyes,reyes,#graphique,1,glose,Non, Non
151,deuen,deven,deven,deven,deven,deven,deuen,deven,#graphique,1,glose,Non, Non
152,fazer,fazer,fazer,fazer,fazer,fazer,fazer,fazer,#not_apparat,1,glose,Non, Non
153,guerra,guerra,guerra,guerra,guerra,guerra,guerra,guerra,#not_apparat,1,glose,Non, Non
154,nin,nin,nin,nin,nin,nin,ni,nin,#graphique,1,glose,Non, Non
155,resçebirla,rresçebirla,resçebirla,reçebirla,rreçebirla,rresçebirla,rescebirla,reçebirla,#graphique,1,glose,Non, Non
156,sinon,synon,synon,sinon,sinon,synon,sino,synon,#graphique,1,glose,Non, Non
157,por,por,por,por,por,por,por,por,#not_apparat,1,glose,Non, Non
158,derecha,derecha,derecha,derecha,derecha,derecha,derecha,derecha,#not_apparat,1,glose,Non, Non
159,razon,rrazón,razón,razón,rrazón,rrazón,razon,razón,#graphique,1,glose,Non, Non
160,e,e,e,e,e,e,e,o,#lexicale,1,glose,Non, Non
161,con,con,con,con,con,con,con,con,#not_apparat,1,glose,Non, Non
162,ordenada,ordenada,ordenada,ordenada,ordenada,ordenada,ordenada,hordenada,#graphique,1,glose,Non, Non
163,entençion,entençión,entençión,entençión,entençión,rrazón,intencion,entinçión,#lexicale,1,glose,Non, Non
164,guardando,guardando,guardando,guardando,guardando,guardando,guardando,guardando,#not_apparat,1,glose,Non, Non
165,sienpre,syenpre,sienpre,sienpre,sienpre,sienpre,sienpre,syenpre,#graphique,1,glose,Non, Non
166,ygualdat,egualdat,ygualdat,egualdat,egualdat,egualdat,ygualdad,egualdat,#graphique,1,glose,Non, Non
167,de,de,de,de,de,de,de,de,#not_apparat,1,glose,Non, Non
168,iustiçia,justiçia,justiçia,justiçia,justiçia,iustiçia,iusticia,justiçia,#graphique,1,glose,Non, Non
169,Ca,Ca,Ca,Ca,ca,ca,Ca,ca,#graphique,1,glose,Non, Non
170,segunt,según,segund,segunt,segunt,segund,segund,segund,#graphique,1,glose,Non, Non
171,que,que,que,que,que,que,que,que,#not_apparat,1,glose,Non, Non
172,dize,dize,dize,dize,dize,dize,dize,dize,#not_apparat,1,glose,Non, Non
173,en,en,en,en,en,en,en,en,#not_apparat,1,glose,Non, Non
174,el,el,el,el,el,el,el,el,#not_apparat,1,glose,Non, Non
175,decreto,decreto,decreto,decreto,decreto,decreto,decreto,decreto,#not_apparat,1,glose,Non, Non
176,xxiiij°,xxxiiii°,xxiiii°,xx°iiii°,xxiiij°,xxiiii,vicesimaquarta,xxiiii°,#lexicale,1,glose,Non, Non
177,questione,quaestione,quaestione,quaestione,cap,questione,questione,quaestione,#lexicale,1,glose,Non, Non
178,prima,i,prima,prima,ø,primera,prima,primera,#omission #lexicale,1,glose,Non, Non
179,las,las,las,las,las,las,Las,las,#graphique,1,glose,Non, Non
180,batallas,batallas,batallas,batallas,batallas,batallas,batallas,batallas,#not_apparat,1,glose,Non, Non
181,puedense,puédense,puédense,puédense,puédense,se,puedense,dévense,#lexicale,1,glose,Non, Non
182,ø,ø,ø,ø,ø,deven,ø,ø,#omission,1,glose,Non, Non
183,tomar,tomar,tomar,tomar,tomar,tomar,tomar,tomar,#not_apparat,1,glose,Non, Non
184,segunt,según,segunt,segunt,segunt,segund,segund,segund,#graphique,1,glose,Non, Non
185,el,el,el,el,el,el,el,el,#not_apparat,1,glose,Non, Non
186,euangelio,evangelio,Evangelio,Evangelio,Evangelio,Evangelio,euangelio,Evangelio,#graphique,1,glose,Non, Non
187,por,por,por,por,por,por,por,por,#not_apparat,1,glose,Non, Non
188,tirar,tirar,tirar,tirar,tyrar,tirar,tirar,tirar,#graphique,1,glose,Non, Non
189,la,la,la,la,la,la,la,la,#not_apparat,1,glose,Non, Non
190,licençia,liçençia,liçençia,liçençia,liçençia,liçençia,licencia,liçençia,#graphique,1,glose,Non, Non
191,e,e,e,e,et,e,e,e,#filtre,1,glose,Non, Non
192,el,el,el,el,el,el,el,el,#not_apparat,1,glose,Non, Non
193,atreuimiento,atrevimiento,atrevimiento,atrevimiento,atrevimiento,atrevimiento,atreuimiento,atrevimiento,#graphique,1,glose,Non, Non
194,de,de,de,de,de,de,de,de,#not_apparat,1,glose,Non, Non
195,maldat,maldat,maldat,maldat,maldat,maldat,maldad,maldat,#graphique,1,glose,Non, Non
196,e,e,e,e,et,e,e,e,#filtre,1,glose,Non, Non
197,por,por,por,por,por,por,por,por,#not_apparat,1,glose,Non, Non
198,neçesidat,nesçesidat,neçesidat,necessidat,neçesidat,nesçesidat,necessidad,necessidat,#graphique,1,glose,Non, Non
199,de,de,de,de,de,de,de,de,#not_apparat,1,glose,Non, Non
200,paz,paz,paz,paz,paz,paz,paz,paz,#not_apparat,1,glose,Non, Non
201,Ca,ca,Ca,Ca,Ca,Ca,Ca,Ca,#graphique,1,glose,Non, Non
202,en,en,en,en,en,en,en,en,#not_apparat,1,glose,Non, Non
203,la,la,la,la,la,la,la,la,#not_apparat,1,glose,Non, Non
204,batalla,batalla,batalla,batalla,batalla,batalla,batalla,batalla,#not_apparat,1,glose,Non, Non
205,ø,de,ø,ø,de,ø,ø,ø,#omission,1,glose,Non, Non
206,derecha,paz,derecha,derecha,paz,derecha,derecha,derecha,#lexicale,1,glose,Non, Non
207,repreendese,rreprehéndese,reprehéndese,reprehéndese,rreprehéndese,rreprehéndese,reprehendese,reprehéndese,#graphique,1,glose,Non, Non
208,la,la,la,la,la,la,la,la,#not_apparat,1,glose,Non, Non
209,cobdiçia,cobdiçia,cobdiçia,codiçia,cobdiçia,cobdiçia,cobdicia,cobdiçia,#graphique,1,glose,Non, Non
210,de,de,de,de,de,de,de,de,#not_apparat,1,glose,Non, Non
211,enpeesçer,enpesçer,enpeçer,enpeçer,enpesçer,enpesçer,enpescer,enpeçer,#graphique,1,glose,Non, Non
212,e,e,e,e,et,e,e,e,#filtre,1,glose,Non, Non
213,la,la,la,la,la,la,la,la,#not_apparat,1,glose,Non, Non
214,crueldat,crueldat,crueldat,crueldat,crueldat,crueldat,crueldad,crueldat,#graphique,1,glose,Non, Non
215,de,de,de,de,del,de,de,de,#lexicale,1,glose,Non, Non
216,mal,mal,mal,mal,mal,mal,mal,mal,#not_apparat,1,glose,Non, Non
217,fazer,fazer,fazer,fazer,fazer,fazer,fazer,fazer,#not_apparat,1,glose,Non, Non
218,e,et,e,e,et,et,e,e,#filtre,1,glose,Non, Non
219,el,el,el,el,el,el,el,el,#not_apparat,1,glose,Non, Non
220,coraçon,coraçón,coraçón,coraçón,coraçón,coraçón,coraçon,coraçón,#normalisation,1,glose,Non, Non
221,malo,malo,malo,malo,malo,malo,malo,malo,#not_apparat,1,glose,Non, Non
222,de,de,de,de,de,de,de,de,#not_apparat,1,glose,Non, Non
223,los,los,los,los,los,los,los,los,#not_apparat,1,glose,Non, Non
224,que,que,que,que,que,que,que,que,#not_apparat,1,glose,Non, Non
225,turban,turban,turban,turban,turban,turban,turban,turban,#not_apparat,1,glose,Non, Non
226,la,la,la,la,la,la,la,la,#not_apparat,1,glose,Non, Non
227,pas,paz,paz,paz,paz,paz,paz,paz,#graphique,1,glose,Non, Non
228,e,e,e,e,et,e,e,e,#filtre,1,glose,Non, Non
229,la,al,la,la,la,la,la,la,#lexicale,1,glose,Non, Non
230,anbicion,anbiçión,anbiçión,anbiçión,anbiçión,anbiçión,anbicion,anbiçión,#graphique,1,glose,Non, Non
231,de,de,de,de,de,de,de,de,#not_apparat,1,glose,Non, Non
232,enseñorear,enseñorear,enseñorear,enseñorear,enseñorear,enseñorear,enseñorear,enseñorear,#not_apparat,1,glose,Non, Non
233,E,Et,Et,E,Et,E,E,E,#filtre,1,glose,Non, Non
234,eso,eso,eso,esso,eso,eso,eso,eso,#graphique,1,glose,Non, Non
235,mesmo,mesmo,mismo,mesmo,mesmo,mesmo,mesmo,mesmo,#graphique,1,glose,Non, Non
236,dize,dize,dize,dize,dize,dize,dize,dize,#not_apparat,1,glose,Non, Non
237,sant,sant,sant,sant,sant,sant,sant,sant,#not_apparat,1,glose,Non, Non
238,agostin,Agostín,Agostýn,Agustín,Agostín,Agostýn,agustin,Agostín,#graphique,1,glose,Non, Non
239,contra,contra,contra,contra,contra,contra,contra,contra,#not_apparat,1,glose,Non, Non
240,fausto,Faustun,Fausto,fausto,faustun,Fransiera,fausto,fransteza,#entite_nommee,1,glose,Non, Non
241,do,do,do,do,do,do,do,do,#not_apparat,1,glose,Non, Non
242,dize,dize,dize,dize,dize,dize,dize,dize,#not_apparat,1,glose,Non, Non
243,que,que,que,que,que,que,que,que,#not_apparat,1,glose,Non, Non
244,buenas,buenas,buenas,buenas,buenas,buenas,buenas,buenas,#not_apparat,1,glose,Non, Non
245,son,son,son,son,son,son,son,son,#not_apparat,1,glose,Non, Non
246,las,las,las,las,las,las,las,las,#not_apparat,1,glose,Non, Non
247,batallas,batallas,batallas,batallas,batallas,batallas,batallas,batallas,#not_apparat,1,glose,Non, Non
248,que,que,que,que,que,que,que,que,#not_apparat,1,glose,Non, Non
249,se,se,se,se,se,se,se,se,#not_apparat,1,glose,Non, Non
250,fazen,fazen,fazen,fazen,fazen,fazen,fazen,fazen,#not_apparat,1,glose,Non, Non
251,por,para,por,por,para,para,por,para,#lexicale,1,glose,Non, Non
252,refrenar,rrefrenar,refrenar,refrenar,rrefrenar,rrefrenar,refrenar,refrenar,#graphique,1,glose,Non, Non
253,los,los,los,los,los,los,los,los,#not_apparat,1,glose,Non, Non
254,malos,malos,malos,malos,malos,malos,malos,malos,#not_apparat,1,glose,Non, Non
255,e,e,e,e,et,e,e,e,#filtre,1,glose,Non, Non
256,para,para,para,para,ø,para,para,para,#omission,1,glose,Non, Non
257,ensalçar,ensalçar,ensalçar,ensalçar,ensalçar,ensalçar,ensalçar,ensalçar,#not_apparat,1,glose,Non, Non
258,los,los,los,los,los,los,los,los,#not_apparat,1,glose,Non, Non
259,buenos,buenos,buenos,buenos,buenos,buenos,buenos,buenos,#not_apparat,1,glose,Non, Non
260,e,e,e,e,et,e,e,e,#filtre,1,glose,Non, Non
261,para,para,para,para,para,para,para,para,#not_apparat,1,glose,Non, Non
262,quebrantar,quebrantar,quebrantar,quebrantar,quebrantar,quebrantar,quebrantar,quebrantar,#not_apparat,1,glose,Non, Non
263,las,las,los,las,las,las,las,las,#morphosyntactique,1,glose,Non, Non
264,contumaçias,contumaçiones,contumaçias,contumaçias,continuaçiones,contumaçias,contumacias,contumaçias,#lexicale,1,glose,Non, Non
265,e,e,e,e,et,e,e,e,#filtre,1,glose,Non, Non
266,las,las,las,las,las,las,las,las,#not_apparat,1,glose,Non, Non
267,soberuias,sobervias,sobervias,sobervias,sobervias,sobervias,soberuias,sobervias,#graphique,1,glose,Non, Non
268,e,e,e,e,et,et,e,e,#filtre,1,glose,Non, Non
269,para,para,para,para,para,para,para,para,#not_apparat,1,glose,Non, Non
270,fazer,fazer,fazer,fazer,fazer,fazer,fazer,fazer,#not_apparat,1,glose,Non, Non
271,obediençia,obediençia,obediençia,obediençia,obediençia,obediençia,obediencia,obediençia,#graphique,1,glose,Non, Non
272,a,a,a,a,a,a,a,a,#not_apparat,1,glose,Non, Non
273,la,la,la,la,la,la,la,la,#not_apparat,1,glose,Non, Non
274,republica,rrepública,República,república,rrepública,rrepública,republica,República,#graphique,1,glose,Non, Non
275,E,Et,Et,E,et,et,E,E,#filtre,1,glose,Non, Non
276,alli,allí,allí,allí,allí,allý,alli,allí,#graphique,1,glose,Non, Non
277,dize,dize,dize,dize,dize,dize,dize,dize,#not_apparat,1,glose,Non, Non
278,asaz,asaz,asaz,más,asáz,asáz,asaz,asaz,#lexicale,1,glose,Non, Non
279,desta,desta,desta,desta,desta,desta,desta,desta,#not_apparat,1,glose,Non, Non
280,materia,materia,materia,materia,materia,materia,materia,materia,#not_apparat,1,glose,Non, Non
281,do,do,Do,do,do,Do,do,do,#lexicale,1,glose,Non, Non
282,dize,dize,dize,dize,dize,dize,dize,dize,#not_apparat,1,glose,Non, Non
283,que,que,que,que,que,que,que,que,#not_apparat,1,glose,Non, Non
284,la,la,la,la,la,la,la,la,#not_apparat,1,glose,Non, Non
285,actoridat,abtoridat,actoridat,autoridat,abtoridat,abtoridat,autoridad,abtoridat,#graphique,1,glose,Non, Non
286,de,de,de,de,de,de,de,de,#not_apparat,1,glose,Non, Non
287,la,la,la,la,la,la,la,la,#not_apparat,1,glose,Non, Non
288,batalla,batalla,batalla,batalla,batalla,batalla,batalla,batalla,#not_apparat,1,glose,Non, Non
289,es,es,es,es,es,es,es,es,#not_apparat,1,glose,Non, Non
290,en,en,en,en,en,en,en,en,#not_apparat,1,glose,Non, Non
291,el,el,el,el,el,el,el,el,#not_apparat,1,glose,Non, Non
292,principe,prínçipe,prínçipe,prínçipe,prinçipe,prinçipe,principe,prínçipe,#graphique,1,glose,Non, Non
293,e,et,e,e,et,e,e,e,#filtre,1,glose,Non, Non
294,ø,ø,que,ø,ø,ø,ø,ø,#omission,1,glose,Non, Non
295,el,el,el,el,el,el,el,el,#not_apparat,1,glose,Non, Non
296,officio,ofiçio,ofiçio,ofiçio,ofiçio,ofiçio,oficio,ofiçio,#graphique,1,glose,Non, Non
297,de,de,de,de,de,de,de,de,#not_apparat,1,glose,Non, Non
298,seguirla,seguirla,seguirla,seguirla,segirla,seguirla,seguirla,seguirla,#morphosyntactique,1,glose,Non, Non
299,es,es,es,es,es,es,es,es,#not_apparat,1,glose,Non, Non
300,ø,ø,en,ø,ø,ø,ø,ø,#omission,1,glose,Non, Non
301,en,en,en,en,en,en,en,en,#not_apparat,1,glose,Non, Non
302,los,los,los,los,los,los,los,los,#not_apparat,1,glose,Non, Non
303,cavalleros,cavalleros,cavalleros,cavalleros,cavalleros,cavalleros,caualleros,cavalleros,#graphique,1,glose,Non, Non
304,Ca,Ca,Ca,Ca,ca,ca,Ca,en,#lexicale,1,glose,Non, Non
305,la,la,la,la,la,la,la,la,#not_apparat,1,glose,Non, Non
306,batalla,batalla,batalla,batalla,batalla,batalla,batalla,batalla,#not_apparat,1,glose,Non, Non
307,que,que,que,que,que,que,que,que,#not_apparat,1,glose,Non, Non
308,dios,Dios,Dios,Dios,dios,dios,dios,dios,#graphique,1,glose,Non, Non
309,manda,manda,manda,manda,manda,manda,manda,manda,#not_apparat,1,glose,Non, Non
310,fazer,fazer,fazer,fazer,fazer,fazer,fazer,fazer,#not_apparat,1,glose,Non, Non
311,non,non,non,non,non,non,no,non,#graphique,1,glose,Non, Non
