Index,A,B,G,J,Q,R,Z,U,Chapitre, Type, Conserver, Revoir,Index,A,B,G,J,Q,R,Z,U
120,so,so,so,so,so,ø,so,so,1,traduction,Non, Non,120,1,1,1,1,1,0,1,1
121,ø,la,ø,la,la,ø,ø,ø,1,traduction,Non, Non,121,0,1,0,1,1,0,0,0
122,que,ø,que,que,ø,que,que,que,1,traduction,Non, Non,122,2,0,2,2,0,2,2,2
123,ø,ø,por,ø,ø,ø,ø,ø,1,traduction,Non, Non,123,0,0,2,0,0,0,0,0
124,a,a,a,a,a,a,a,ø,1,traduction,Non, Non,124,1,1,1,1,1,1,1,0
125,ø,ø,ø,ø,ø,ø,en,ø,2,,Non, Non,125,0,0,0,0,0,0,2,0
126,ø,son,son,son,son,son,son,son,2,,Non, Non,126,0,1,1,1,1,1,1,1
127,ø,ø,de,ø,ø,ø,ø,ø,2,,Non, Non,127,0,0,2,0,0,0,0,0
128,ø,ø,deven,ø,ø,ø,ø,ø,2,,Non, Non,128,0,0,2,0,0,0,0,0
129,ø,se,ø,se,se,se,se,se,2,,Non, Non,129,0,1,0,1,1,1,1,1
130,ø,estas,ø,ø,estas,ø,ø,ø,2,traduction,Non, Non,130,0,1,0,0,1,0,0,0
131,ø,ø,ø,ø,ø,ø,es,es,2,traduction,Non, Non,131,0,0,0,0,0,0,2,2
132,ø,ø,ø,ø,ø,E,ø,ø,2,traduction,Non, Non,132,0,0,0,0,0,2,0,0
133,las,ø,las,las,las,las,las,las,2,traduction,Non, Non,133,1,0,1,1,1,1,1,1
134,ø,ø,ø,ø,ø,más,ø,ø,2,traduction,Non, Non,134,0,0,0,0,0,2,0,0
135,ø,ø,ø,ø,mejores,ø,ø,ø,2,traduction,Non, Non,135,0,0,0,0,1,0,0,0
136,al,ø,al,ø,ø,ø,al,ø,2,traduction,Non, Non,136,2,0,2,0,0,0,2,0
137,ø,son,ø,ø,son,ø,ø,ø,2,traduction,Non, Non,137,0,1,0,0,1,0,0,0
138,ø,ø,ø,ø,ø,E,ø,ø,2,traduction,Non, Non,138,0,0,0,0,0,2,0,0
139,muy,ø,ø,muy,ø,ø,muy,ø,2,traduction,Non, Non,139,2,0,0,2,0,0,2,0
140,en,ø,ø,en,ø,en,en,en,2,traduction,Non, Non,140,2,0,0,2,0,2,2,2
141,son,son,ø,son,son,ø,son,son,2,traduction,Non, Non,141,1,1,0,1,1,0,1,1
142,lo,lo,ø,lo,lo,lo,lo,lo,2,traduction,Non, Non,142,1,1,0,1,1,1,1,1
143,ø,ø,ø,ø,ø,libro,ø,ø,2,traduction,Non, Non,143,0,0,0,0,0,2,0,0
144,se,ø,se,se,se,ø,se,ø,2,traduction,Non, Non,144,1,0,1,1,1,0,1,0
145,mucho,mucho,mucho,mucho,ø,mucho,mucho,mucho,2,traduction,Non, Non,145,2,2,2,2,0,2,2,2
146,llegan,se,llegan,ø,llegan,se,llegan,son,2,traduction,Non, Non,146,3,2,3,0,3,2,3,1
147,ø,allegan,ø,allegan,más,allegan,ø,allegados,2,traduction,Non, Non,147,0,2,0,2,4,2,0,1
148,tierras,tierras,tierras,ø,tierras,tierras,tierras,tierras,2,traduction,Non, Non,148,1,1,1,0,1,1,1,1
149,de,de,de,de,ø,de,de,de,2,traduction,Non, Non,149,2,2,2,2,0,2,2,2
150,los,ø,los,los,ø,ø,los,ø,2,traduction,Non, Non,150,2,0,2,2,0,0,2,0
151,ø,ø,ø,ø,ø,se,ø,ø,2,traduction,Non, Non,151,0,0,0,0,0,2,0,0
152,ø,ø,ø,ø,ø,Et,ø,ø,2,traduction,Non, Non,152,0,0,0,0,0,2,0,0
153,es,es,es,ø,es,es,es,es,2,traduction,Non, Non,153,1,1,1,0,1,1,1,1
154,muy,ø,muy,muy,muy,muy,muy,muy,2,traduction,Non, Non,154,1,0,1,1,1,1,1,1
155,e,e,ø,e,e,e,e,e,2,traduction,Non, Non,155,1,1,0,1,1,1,1,1
156,ø,es,es,ø,es,ø,ø,ø,2,traduction,Non, Non,156,0,1,1,0,1,0,0,0
157,ø,muy,ø,ø,muy,ø,ø,ø,2,traduction,Non, Non,157,0,1,0,0,1,0,0,0
158,ø,ø,ø,ø,E,ø,ø,ø,2,traduction,Non, Non,158,0,0,0,0,1,0,0,0
159,ø,ø,ø,ø,e,ø,ø,ø,2,traduction,Non, Non,159,0,0,0,0,1,0,0,0
160,ø,ø,muy,ø,ø,ø,ø,ø,2,traduction,Non, Non,160,0,0,2,0,0,0,0,0
161,ø,su,ø,ø,su,su,ø,su,2,traduction,Non, Non,161,0,1,0,0,1,1,0,1
162,ø,ø,ø,ø,ø,ø,todos,ø,2,traduction,Non, Non,162,0,0,0,0,0,0,2,0
163,ø,ø,ø,ø,ø,ø,otros,ø,2,traduction,Non, Non,163,0,0,0,0,0,0,2,0
164,ø,ø,ø,ø,ø,ø,tan,ø,2,traduction,Non, Non,164,0,0,0,0,0,0,2,0
165,ø,ø,ø,ø,e,ø,ø,ø,2,traduction,Non, Non,165,0,0,0,0,1,0,0,0
166,ø,el,el,el,el,el,el,el,2,traduction,Non, Non,166,0,1,1,1,1,1,1,1
167,ø,muy,ø,ø,muy,ø,ø,ø,2,traduction,Non, Non,167,0,1,0,0,1,0,0,0
168,se,se,se,se,ø,se,se,se,2,traduction,Non, Non,168,2,2,2,2,0,2,2,2
169,la,el,la,la,el,ø,la,que,2,traduction,Non, Non,169,3,4,3,3,4,0,3,1
170,ø,ø,ø,ø,ø,ofiçios,ø,ofiçios,2,traduction,Oui,Non,170,0,0,0,0,0,2,0,2
171,ø,a,ø,ø,a,a,ø,a,2,traduction,Non, Non,171,0,1,0,0,1,1,0,1
172,ø,estos,ø,ø,estos,ø,ø,ø,2,traduction,Non, Non,172,0,1,0,0,1,0,0,0
173,ø,ø,a,ø,ø,ø,ø,ø,2,traduction,Non, Non,173,0,0,2,0,0,0,0,0
174,ø,ø,ø,ø,agujas,ø,ø,ø,2,traduction,Non, Non,174,0,0,0,0,1,0,0,0
175,ø,ø,ø,ø,tales,ø,ø,ø,2,traduction,Non, Non,175,0,0,0,0,1,0,0,0
176,de,de,ø,de,de,de,de,de,2,traduction,Non, Non,176,1,1,0,1,1,1,1,1
177,son,son,son,ø,son,son,son,son,2,traduction,Non, Non,177,1,1,1,0,1,1,1,1
178,ø,non,ø,ø,non,ø,ø,ø,2,traduction,Non, Non,178,0,1,0,0,1,0,0,0
179,la,la,la,la,la,la,la,ø,2,traduction,Non, Non,179,1,1,1,1,1,1,1,0
180,ø,ø,ø,ø,ø,ø,ø,en,2,traduction,Non, Non,180,0,0,0,0,0,0,0,2
181,ø,ø,ø,ø,ø,a,a,ø,2,traduction,Non, Non,181,0,0,0,0,0,2,2,0
182,la,ø,ø,la,la,ø,la,ø,2,traduction,Non, Non,182,1,0,0,1,1,0,1,0
183,ø,los,ø,ø,los,ø,ø,los,2,traduction,Non, Non,183,0,1,0,0,1,0,0,1
184,ø,los,ø,ø,los,ø,los,ø,2,traduction,Non, Non,184,0,1,0,0,1,0,1,0
185,ø,ø,ø,ø,ø,ø,los,ø,2,traduction,Non, Non,185,0,0,0,0,0,0,2,0
186,ø,ø,ø,ø,ø,ø,los,ø,2,traduction,Non, Non,186,0,0,0,0,0,0,2,0
187,ø,ø,la,ø,ø,ø,ø,ø,2,traduction,Non, Non,187,0,0,2,0,0,0,0,0
188,la,ø,la,la,ø,ø,la,la,2,traduction,Non, Non,188,2,0,2,2,0,0,2,2
189,ø,ø,ø,ø,saber,ø,ø,ø,2,glose,Non, Non,189,0,0,0,0,1,0,0,0
190,ø,ø,ø,ø,ø,primeramente,ø,primeramente,2,glose,Oui, Non,190,0,0,0,0,0,2,0,2
191,primeramente,primeramente,prymeramente,primeramente,primeramente,ø,primeramente,ø,2,glose,Oui, Non,191,2,2,1,2,2,0,2,0
192,ø,ø,ø,ø,ø,de,ø,ø,2,glose,Non, Non,192,0,0,0,0,0,2,0,0
193,ø,ø,ø,ø,e,ø,ø,ø,2,glose,Non, Non,193,0,0,0,0,1,0,0,0
194,ø,ø,ø,ø,en,ø,ø,ø,2,glose,Non, Non,194,0,0,0,0,1,0,0,0
195,que,que,que,que,que,ø,que,que,2,glose,Non, Non,195,1,1,1,1,1,0,1,1
196,ø,ø,ø,Anibal,ø,ø,ø,ø,2,glose,Non, Non,196,0,0,0,2,0,0,0,0
197,a,a,ø,a,a,a,a,a,2,glose,Non, Non,197,1,1,0,1,1,1,1,1
198,por,ø,por,por,ø,por,por,por,2,glose,Non, Non,198,2,0,2,2,0,2,2,2
199,ø,ø,ø,le,le,le,ø,le,2,glose,Non, Non,199,0,0,0,1,1,1,0,1
200,ø,el,el,ø,el,ø,ø,el,2,glose,Non, Non,200,0,1,1,0,1,0,0,1
201,ø,ø,ø,ø,ø,ø,fuertemente,ø,2,glose,Non, Non,201,0,0,0,0,0,0,2,0
202,ø,ø,ø,ø,e,ø,ø,ø,2,glose,Non, Non,202,0,0,0,0,1,0,0,0
203,ø,ø,ø,ø,ø,ø,ø,syenpre,2,glose,Non, Non,203,0,0,0,0,0,0,0,2
204,ø,el,el,el,el,el,el,el,2,glose,Non, Non,204,0,1,1,1,1,1,1,1
205,libro,libro,ø,,libro,libro,libro,libro,2,glose,Non, Non,205,1,1,0,1,1,1,1,1
206,rezios,ø,rezios,rezios,de,rrezios,rezios,rezios,2,glose,Non, Non,206,3,0,3,3,1,3,3,3
207,ø,la,la,ø,ø,ø,ø,ø,2,glose,Non, Non,207,0,2,2,0,0,0,0,0
208,ø,a,ø,ø,a,ø,algunos,ø,2,glose,Non, Non,208,0,1,0,0,1,0,3,0
209,ø,ø,ø,ø,la,ø,ø,ø,2,glose,Non, Non,209,0,0,0,0,1,0,0,0
210,ø,ø,ø,ø,ø,ø,la,ø,2,glose,Non, Non,210,0,0,0,0,0,0,2,0
211,ø,ø,ø,ø,bien,ø,ø,ø,2,glose,Non, Non,211,0,0,0,0,1,0,0,0
212,que,ø,que,que,ø,ø,que,ø,2,glose,Non, Non,212,2,0,2,2,0,0,2,0
213,la,la,la,la,la,la,ø,la,2,glose,Non, Non,213,1,1,1,1,1,1,0,1
214,ø,que,ø,ø,que,que,ø,que,2,glose,Non, Non,214,0,1,0,0,1,1,0,1
215,de,de,de,de,de,de,ø,de,2,glose,Non, Non,215,1,1,1,1,1,1,0,1
216,ende,ende,ende,ende,ende,ende,ende,ø,2,glose,Non, Non,216,1,1,1,1,1,1,1,0
217,este,ø,éste,éste,ø,Darío,este,esto,2,glose,Non, Non,217,1,0,1,1,0,4,1,3
218,ø,ø,ø,ø,ø,e,ø,ø,2,glose,Non, Non,218,0,0,0,0,0,2,0,0
219,e,e,e,e,e,ø,e,e,2,glose,Non, Non,219,1,1,1,1,1,0,1,1
220,muy,muy,muy,muy,ø,muy,muy,muy,2,glose,Non, Non,220,2,2,2,2,0,2,2,2
221,ø,de,ø,ø,de,de,ø,ø,2,glose,Non, Non,221,0,1,0,0,1,1,0,0
222,arte,arte,arte,arte,arte,ø,arte,arte,2,glose,Non, Non,222,1,1,1,1,1,0,1,1
223,de,de,de,de,de,ø,ø,de,2,glose,Non, Non,223,1,1,1,1,1,0,0,1
224,es,es,es,es,en,es,es,ø,2,glose,Non, Non,224,3,3,3,3,1,3,3,0
225,ø,ø,ø,ø,ø,de,ø,de,2,glose,Non, Non,225,0,0,0,0,0,2,0,2
226,ø,de,ø,ø,ø,ø,ø,ø,2,glose,Non, Non,226,0,2,0,0,0,0,0,0
227,o,o,o,o,o,o,o,ø,2,glose,Non, Non,227,1,1,1,1,1,1,1,0
228,ø,ø,ø,ø,que,ø,ø,menos,2,glose,Non, Non,228,0,0,0,0,3,0,0,2
229,Nueue,ix,nueve,nueve,12,nueve,Nueue,ø,2,glose,Non, Non,229,1,1,1,1,3,1,1,0
230,ø,Et,ø,ø,ø,ø,ø,ø,2,glose,Non, Non,230,0,2,0,0,0,0,0,0
231,es,es,es,es,ø,ø,es,ø,2,glose,Non, Non,231,2,2,2,2,0,0,2,0
232,muy,muy,muy,muy,muy,ø,muy,ø,2,glose,Non, Non,232,1,1,1,1,1,0,1,0
233,ø,ø,ø,se,ø,ø,ø,ø,2,glose,Non, Non,233,0,0,0,2,0,0,0,0
234,que,que,que,ø,que,ø,que,ø,2,glose,Non, Non,234,1,1,1,0,1,0,1,0
235,en,ø,en,en,ø,ø,ø,ø,2,glose,Non, Non,235,2,0,2,2,0,0,0,0
236,apresurada,apresurada,,apresurada,apresurada,ø,apresurada,ø,2,glose,Non, Non,236,2,2,3,2,2,0,2,0
237,prinçipalmente,prinçipalmente,prinçipalmente,prinçipalmente,señaladamente,ø,principalmente,prinçipalemente,2,glose,Non, Non,237,3,3,3,3,1,0,3,3
238,ø,ø,ø,ø,ø,prinçipalmente,ø,ø,2,glose,Non, Non,238,0,0,0,0,0,2,0,0
239,ø,ø,ø,ø,ø,en,ø,ø,2,glose,Non, Non,239,0,0,0,0,0,2,0,0
240,ø,ø,ø,ø,ø,ø,ø,es,2,glose,Non, Non,240,0,0,0,0,0,0,0,2
241,ø,dize,ø,ø,ø,ø,ø,ø,2,glose,Non, Non,241,0,2,0,0,0,0,0,0
242,ø,ø,ø,ø,antes,ø,ø,ø,2,glose,Non, Non,242,0,0,0,0,1,0,0,0
243,ø,el,ø,ø,ø,ø,ø,ø,2,glose,Non, Non,243,0,2,0,0,0,0,0,0
244,ø,ø,ø,ø,ø,omne,ø,ø,2,glose,Non, Non,244,0,0,0,0,0,2,0,0
245,ø,ø,ø,ø,ø,cosas,ø,ø,2,glose,Non, Non,245,0,0,0,0,0,2,0,0
246,non,ø,non,non,que,non,no,non,2,glose,Non, Non,246,3,0,3,3,2,3,3,3
247,de,ø,de,de,ø,de,de,de,2,glose,Non, Non,247,2,0,2,2,0,2,2,2
248,ø,Et,ø,ø,Et,ø,ø,ø,2,glose,Non, Non,248,0,1,0,0,1,0,0,0
249,ø,ø,ø,ø,ø,de,ø,ø,2,glose,Non, Non,249,0,0,0,0,0,2,0,0
250,a,a,a,a,a,ø,a,a,2,glose,Non, Non,250,1,1,1,1,1,0,1,1
251,ø,ø,ø,ø,ellos,ø,ø,ø,2,glose,Non, Non,251,0,0,0,0,1,0,0,0
252,ø,que,que,que,que,que,que,que,2,glose,Non, Non,252,0,1,1,1,1,1,1,1
253,ø,ø,ø,ø,Et,ø,ø,ø,2,glose,Non, Non,253,0,0,0,0,1,0,0,0
254,ø,ø,ø,los,ø,ø,ø,ø,2,glose,Non, Non,254,0,0,0,2,0,0,0,0
255,se,se,se,se,ø,ø,se,se,2,glose,Non, Non,255,2,2,2,2,0,0,2,2
256,ø,ø,ø,nuevas,ø,ø,ø,ø,2,glose,Non, Non,256,0,0,0,2,0,0,0,0
257,las,ø,las,las,ø,ø,las,ø,2,glose,Non, Non,257,2,0,2,2,0,0,2,0
258,ø,Et,ø,ø,ø,ø,ø,ø,2,glose,Non, Non,258,0,2,0,0,0,0,0,0
259,ø,tener,ø,ø,tener,tener,ø,tener,2,glose,Non, Non,259,0,1,0,0,1,1,0,1
