Index,Mad_A,Mad_B,Mad_G,Sal_J,Esc_Q,Sev_R,Sev_Z,Phil_U,Chapitre, Type, Conserver, Revoir,Index,A,B,G,J,Q,R,Z,U,Notes,Index
29,por,para,por,por,para,para,por,para,1,glose,Non, Non,29,2,1,2,2,1,1,2,1,,29
30,contumaçias,contumaçiones,contumaçias,contumaçias,continuaçiones,contumaçias,contumacias,contumaçias,1,glose,Non, Non,30,2,1,2,2,3,2,2,2,,30
31,asaz,asaz,asaz,más,asáz,asáz,asaz,asaz,1,glose,Non, Non,31,2,2,2,1,2,2,2,2,,31
32,do,do,Do,do,do,Do,do,do,1,glose,Non, Non,32,1,1,2,1,1,2,1,1,,32
33,Ca,Ca,Ca,Ca,ca,ca,Ca,en,1,glose,Non, Non,33,1,1,1,1,1,1,1,2,,33
34,con,con,con,con,con,por,con,con,1,glose,Non, Non,34,1,1,1,1,1,2,1,1,,34
35,o,o,o,o,o,o,o,e,1,glose,Non, Non,35,1,1,1,1,1,1,1,2,,35
36,questione,quaestione,quaestione,quaestione,capítulo,questione,questione,quaestione,1,glose,Non, Non,36,1,3,3,3,2,1,1,3,,36
37,ochaua,viii°,octava,viii°,vii°,viii°,octaua,viii°,1,glose,Non, Non,37,2,3,5,3,1,3,4,3,,37
38,del,de,del,del,de,del,del,del,1,glose,Non, Non,38,2,1,2,2,1,2,2,2,,38
39,epistola,la,epístola,epístola,la,la,epistola,epístola,1,glose,Non, Non,39,1,2,1,1,2,2,1,1,,39
40,quinta,·v·,v,v°,v°,quinta,quinta,quinta,1,glose,Non, Non,40,2,1,1,1,1,2,2,2,,40
41,domar,perdonar,domar,domar,domar,domar,domar,domar,1,glose,Non, Non,41,1,2,1,1,1,1,1,1,,41
42,questione,quaestione,quaestione,quaestione,viii°,questione,questione,quaestione,1,glose,Non, Non,42,1,3,3,3,2,1,1,3,,42
43,ochaua,viii,octava,viii°,capítulo,viii,octaua,viii°,1,glose,Non, Non,43,1,3,4,5,2,3,6,5,,43
44,deue,puede,deve,deve,deve,deve,deue,deve,1,glose,Oui, Non,44,2,1,2,2,2,2,2,2,,44
45,nulla,nulla,nulla,nulla,mala,milla,nulla,nulla,1,glose,Non, Non,45,3,3,3,3,2,1,3,3,,45
46,vrgeat,viget,urgeat,urgeat,viget,viget,vrgeat,viget,1,glose,Oui, Non,46,2,1,2,2,1,1,2,1,,46
47,neçesitas,nesçessitas,nesçesitas,necessitas,neçesitas,nesçesitas,necessitas,necessitas,1,glose,Non, Non,47,2,1,3,1,2,3,1,1,,47
48,fazienda,fazienda,fazienda,fazienda,fazienda,guerra,fazienda,guerra,1,glose,Oui, Non,48,1,1,1,1,1,2,1,2,,48
49,o,o,ø,o,o,o,o,e,1,glose,Non, Non,49,2,2,0,2,2,2,2,1,,49
50,ageo,Achior,Agior,Agior,Achior,archior,ageo,ø,1,glose,Non, Non,50,2,3,1,1,3,4,2,0,,50
51,al,a,al,a,a,a,a,ø,1,glose,Non, Non,51,1,2,1,2,2,2,2,0,,51
52,sesto,vi°,vi°,vi°,vi°,sesto,vj,ø,1,glose,Non, Non,52,2,2,2,2,2,2,1,0,,52
53,capitulo,capítulo,capítulo,capítulo,capítulo,capítulo,c,ø,1,glose,Non, Non,53,2,2,2,2,2,2,1,0,,53
54,que,que,que,que,que,et,que,que,1,glose,Non, Non,54,1,1,1,1,1,2,1,1,,54
55,alguna,alguna,ninguna,ninguna,alguna,nenguna,ninguna,ninguna,1,glose,Oui, Non,55,1,1,2,2,1,2,2,2,,55
56,desto,deste,deste,deste,deste,deste,deste,deste,1,glose,Non, Non,56,2,1,1,1,1,1,1,1,,56
57,enel,en,en,en,en,en,en,en,1,glose,Non, Non,57,2,1,1,1,1,1,1,1,,57
58,leuitico,Levítico,Levítico,Levítico,Levito,Leuítico,leuitico,Bevito,1,glose,Non, Non,58,1,1,1,1,3,1,1,2,,58
59,a,xxvii°,a,xx°vii°,xxviii°,.xxvii,a,xxvii°,1,glose,Non, Non,59,3,1,3,1,2,1,3,1,,59
60,veynte,ø,veynte,ø,ø,ø,viente,ø,1,glose,Non, Non,60,1,0,1,0,0,0,2,0,,60
61,ca,ca,que,ca,ca,que,ca,ca,1,glose,Non, Non,61,1,1,2,1,1,2,1,1,,61
62,con,convusco,con,con,conbusco,conbusco,con,convusco,1,glose,Non, Non,62,2,1,2,2,3,3,2,1,,62
63,vi°,vi,.vi°.,vi°,vi°,.vii.,sexto,vii°,1,glose,Non, Non,63,3,3,3,3,3,1,2,1,,63
64,achan,Atheor,Achán,achar,Atheor,Athor,achan,Cahor,1,glose,Non, Non,64,5,2,5,3,2,1,5,4,,64
65,qujen,que,quien,que,que,que,quien,que,1,glose,Non, Non,65,1,2,1,2,2,2,1,2,,65
66,acometer,acometer,acometer,cometer,acometer,acometer,acometer,cometer,1,traduction,Non, Non,66,1,1,1,2,1,1,1,2,,66
67,conujeneles,conviéneles,convenibles,conviéneles,conviéneles,conviéneles,conuieneles,conviéneles,1,traduction,Non, Non,67,2,2,1,2,2,2,2,2,,67
68,contiene,contiene,contiene,contiene,contiene,conviene,contiene,conviene,1,traduction,Oui, Non,68,1,1,1,1,1,2,1,2,,68
69,desta,desta,desta,esta,desta,desta,desta,ø,1,traduction,Non, Non,69,1,1,1,2,1,1,1,0,,69
70,a,a,al,a,a,a,a,a,1,traduction,Non, Non,70,1,1,2,1,1,1,1,1,,70
71,es,es,es,es,et,es,es,es,1,traduction,Non, Non,71,2,2,2,2,1,2,2,2,,71
72,lidiar,vida,lidiar,lidiar,vida,lidiar,lidiar,delídica,1,traduction,Oui, Non,72,1,2,1,1,2,1,1,3,,72
73,a,a,a,a,a,al,a,al,1,traduction,Non, Non,73,1,1,1,1,1,2,1,2,,73
74,Ca,ca,Ca,ca,ca,Ca,Ca,que,1,traduction,Non, Non,74,2,2,2,2,2,2,2,1,,74
75,asi,asý,asý,assí,si,sy,assy,asý,1,traduction,Non, Non,75,1,1,1,1,2,2,1,1,,75
76,ayan,sean,ayan,han,han,an,han,sean,1,traduction,Non, Non,76,1,2,1,4,4,3,4,2,,76
77,o,o,o,o,o,a,o,a,1,traduction,Non, Non,77,1,1,1,1,1,2,1,2,,77
78,batalla,batalla,batalla,batalla,batalla,cavallería,batalla,cavallería,1,traduction,Oui, Non,78,1,1,1,1,1,2,1,2,,78
79,caualleria,cavallería,cavallería,cavallería,cavallero,cavallería,caualleria,cavallería,1,traduction,Oui, Non,79,1,1,1,1,2,1,1,1,,79
80,el,el,el,el,el,el,el,al,1,traduction,Non, Non,80,1,1,1,1,1,1,1,2,,80
81,al,al,al,al,al,al,al,a,1,traduction,Non, Non,81,1,1,1,1,1,1,1,2,,81
82,por,por,por,por,por,a,por,por,1,traduction,Non, Non,82,1,1,1,1,1,2,1,1,,82
83,de,de,de,de,de,ø,de,desta,1,traduction,Non, Non,83,1,1,1,1,1,0,1,2,,83
84,çinco,çinco,çinco,çinco,çinco,çinco,cinco,çinco,1,traduction,Non, Non,84,1,1,1,1,1,1,2,1,,84
85,o,o,o,o,o,e,o,e,1,traduction,Non, Non,85,1,1,1,1,1,2,1,2,,85
86,si,sý,sí,sí,sí,sý,sy,sý,1,traduction,Non, Non,86,2,1,1,1,1,1,1,1,,86
87,ø,mejor,ø,ø,menor,ø,ø,ø,1,traduction,Non, Non,87,0,1,0,0,2,0,0,0,,87
88,en,en,en,en,en,es,en,en,1,traduction,Non, Non,88,1,1,1,1,1,2,1,1,,88
89,omme,omne,omne,omme,omme,omme,ombre,commo,1,traduction,Non, Non,89,1,1,1,1,1,1,1,2,,89
90,guiar,guiar,guiar,guiar,giar,,guiar,guiarse,1,traduction,Non, Non,90,2,2,2,2,2,1,2,3,,90
91,el,el,el,el,el,el,el,al,1,traduction,Non, Non,91,1,1,1,1,1,1,1,2,,91
92,o,o,e,o,o,et,o,o,1,traduction,Non, Non,92,3,3,2,3,3,1,3,3,,92
93,Ca,Ca,ca,ca,ca,ca,Ca,e,1,traduction,Non, Non,93,2,2,2,2,2,2,2,1,,93
94,ha,ha,ha,ha,ha,a,ha,ha,1,traduction,Non, Non,94,1,1,1,1,1,2,1,1,,94
95,e,e,et,e,o,e,e,e,1,traduction,Non, Non,95,2,2,1,2,3,2,2,2,,95
96,el,mayor,el,el,mayor,mayor,el,mayor,1,traduction,Non, Non,96,2,1,2,2,1,1,2,1,,96
97,e,e,e,e,o,e,e,e,1,traduction,Non, Non,97,2,2,2,2,1,2,2,2,,97
98,o,e,o,o,o,o,o,o,1,traduction,Non, Non,98,1,2,1,1,1,1,1,1,,98
99,o,o,e,o,o,e,o,o,1,traduction,Non, Non,99,1,1,2,1,1,2,1,1,,99
100,al,al,al,al,al,la,al,al,1,traduction,Non, Non,100,1,1,1,1,1,2,1,1,,100
101,si,sý,sí,sí,sí,sy,sy,sý,1,traduction,Non, Non,101,1,1,1,1,1,1,1,1,,101
102,enel,en,en,en,en,en,en,en,1,traduction,Non, Non,102,2,1,1,1,1,1,1,1,,102
103,padre,padre,padre,padre,padre,padre,padre,persona,1,traduction,Oui, Non,103,1,1,1,1,1,1,1,2,,103
104,muchas,muchas,muchas,muchas,muchas,muchas,muchas,syngular,1,traduction,Oui, Non,104,1,1,1,1,1,1,1,2,,104
105,terçero,terçero,iii°,iii°,terçero,terçero,tercero,segundo,1,traduction,Non, Non,105,1,1,1,1,1,1,1,2,,105
106,mostrole,mostró,mostróle,mostróle,mostró,muestra,mostrole,mostró,1,traduction,Non, Non,106,1,3,1,1,3,2,1,3,,106
107,el,el,el,el,el,al,el,el,1,traduction,Non, Non,107,1,1,1,1,1,2,1,1,,107
108,ha,ha,ha,ha,ha,a,ha,ha,1,traduction,Non, Non,108,1,1,1,1,1,2,1,1,,108
109,estas,estas,estas,estas,estas,destas,estas,destas,1,traduction,Non, Non,109,1,1,1,1,1,2,1,2,,109
110,saber,aver,saber,saber,aver,aber,saber,aver,1,traduction,Oui, Non,110,1,2,1,1,2,2,1,2,,110
111,al,el,al,al,el,el,al,el,1,traduction,Non, Non,111,2,1,2,2,1,1,2,1,,111
112,polithica,poliçia,políthica,política,política,,politica,política,1,traduction,Oui, Non,112,1,2,3,3,3,3,3,3,,112
113,guiar,governar,guiar,governar,giar,guiar,guiar,guiar,1,traduction,Oui, Non,113,2,1,2,1,3,2,2,2,,113
114,çibdadanos,çibdadanos,çibdadanos,çibdadanos,cibdadanos,çibdades,cibdadanos,çibdades,1,traduction,Oui, Non,114,2,2,2,2,2,1,2,1,,114
115,sepa,,sepa,sepa,siga,sepa,sepa,sepa,1,traduction,Oui, Non,115,1,2,1,1,2,1,1,1,,115
116,obedesçe,ha,obedesçe,obedeçe,de,obedesçe,obedesce,obedeçe,1,traduction,Non, Non,116,3,1,3,3,2,3,3,3,,116
117,ø,ø,ø,ø,ø,en,ø,de,1,traduction,Non, Non,117,0,0,0,0,0,2,0,1,,117
118,departese,depártese,depártese,depártese,departe,departe,departese,depártese,1,traduction,Non, Non,118,2,2,2,2,1,1,2,2,,118
119,si,sý,sí,sí,sí,sý,sy,sý,1,traduction,Non, Non,119,1,1,1,1,1,1,2,1,,119
120,conuiene,conviénele,conviene,conviene,conviénele,conviénele,conuiene,conviénele,1,traduction,Non, Non,120,1,2,1,1,2,2,1,2,,120
121,por,para,por,por,para,por,por,por,1,traduction,Non, Non,121,2,1,2,2,1,2,2,2,,121
122,es,es,es,es,es,,es,ø,1,traduction,Non, Non,122,1,1,1,1,1,2,1,0,,122
123,de,del,de,de,del,de,de,de,1,traduction,Non, Non,123,2,1,2,2,1,2,2,2,,123
124,quinta,quinta,quinta,quinta,vº,quinta,.v.,v°,1,traduction,Non, Non,124,3,3,3,3,2,3,1,1,,124
125,dicha,derechas,dicha,dicha,drcha,dicha,dicha,dicha,1,traduction,Non, Non,125,2,3,2,2,1,2,2,2,,125
126,caualleril,cavalleril,cavallería,cavalleril,ría,cavalleril,caualleril,cavalleril,1,traduction,Non, Non,126,1,1,2,1,2,1,1,1,,126
127,e,o,o,o,o,o,o,o,1,traduction,Non, Non,127,2,1,1,1,1,1,1,1,,127
128,deue,natural,deve,deve,deve,deve,deue,deve,1,traduction,Non, Non,128,2,1,2,2,2,2,2,2,,128
129,ser,ca,ser,ser,ser,ser,ser,ser,1,traduction,Non, Non,129,1,2,1,1,1,1,1,1,,129
130,gouerrnamiento,governamiento,govierno,governamiento,governamiento,governamiento,gouernamiento,governador,1,traduction,Non, Non,130,1,1,2,1,1,1,1,3,,130
131,por,por,por,por,por,por,porque,por,1,traduction,Non, Non,131,1,1,1,1,1,1,2,1,,131
132,cada,todo,todo,cada,todo,cada,cada,cada,1,traduction,Oui, Non,132,2,1,1,2,1,2,2,2,,132
133,asi,asý,así,así,si,asy,assy,asý,1,traduction,Non, Non,133,1,1,1,1,2,1,1,1,,133
134,omme,one,omne,omme,omme,omme,ombre,omne,1,traduction,Non, Non,134,2,1,2,2,2,2,2,2,,134
135,por,porque,porque,porque,porque,porque,por,porque,1,traduction,Non, Non,135,2,1,1,1,1,1,2,1,,135
136,porque,por,porque,porque,porque,porque,por,por,1,traduction,Non, Non,136,1,2,1,1,1,1,2,2,,136
137,cibdades,çibdadanos,çibdades,çibdades,çibdadanos,çibdadanos,cibdades,çibdades,1,traduction,Oui, Non,137,1,2,1,1,2,2,1,1,,137
138,o,o,o,o,e,o,o,o,1,traduction,Non, Non,138,2,2,2,2,1,2,2,2,,138
139,para,por,para,para,por,para,para,para,1,traduction,Non, Non,139,2,1,2,2,1,2,2,2,,139
140,en,en,en,en,en,el,en,en,1,traduction,Non, Non,140,1,1,1,1,1,2,1,1,,140
141,o,o,o,o,o,et,o,e,1,traduction,Non, Non,141,3,3,3,3,3,1,3,2,,141
142,para,para,para,para,por,para,para,para,1,traduction,Non, Non,142,2,2,2,2,1,2,2,2,,142
143,aredrar,arredrar,arredrar,arredrar,arredrar,ordenar,arredrar,arredrar,1,traduction,Oui, Non,143,2,2,2,2,2,1,2,2,,143
144,al,el,al,el,el,el,al,ø,1,traduction,Non, Non,144,1,2,1,2,2,2,1,0,,144
145,asy,asý,así,así,así,sy,assy,ø,1,traduction,Non, Non,145,1,1,1,1,1,2,1,0,,145
146,es,es,es,es,ha,es,es,ø,1,traduction,Non, Non,146,1,1,1,1,2,1,1,0,,146
147,han,han,ha,han,han,sean,han,ø,1,traduction,Non, Non,147,3,3,1,3,3,2,3,0,,147
148,de,de,de,de,de,del,de,ø,1,traduction,Non, Non,148,1,1,1,1,1,2,1,0,,148
149,o,e,o,o,e,o,o,o,1,traduction,Non, Non,149,2,1,2,2,1,2,2,2,,149
150,que,aquí,qué,qué,qué,qué,que,qué,1,traduction,Non, Non,150,1,2,1,1,1,1,1,1,,150
151,que,que,que,que,e,ca,que,que,1,traduction,Non, Non,151,1,1,1,1,2,3,1,1,,151
152,asi,asý,así,así,así,asy,assy,es,1,traduction,Non, Non,152,1,1,1,1,1,1,1,2,,152
153,regno,rreyno,regno,regno,rrey,rregno,reyno,Reyno,1,traduction,Oui, Non,153,2,2,2,2,1,2,2,2,,153
154,e,e,e,e,e,o,e,o,1,traduction,Non, Non,154,1,1,1,1,1,2,1,2,,154
155,o,o,o,o,o,o,o,e,1,traduction,Non, Non,155,1,1,1,1,1,1,1,2,,155
156,o,o,o,o,e,e,o,o,1,traduction,Non, Non,156,2,2,2,2,1,1,2,2,,156
157,discordia,discordia,discordia,discordia,discordia,discordia,discordia,sabiduría,1,traduction,Oui, Non,157,1,1,1,1,1,1,1,2,,157
158,quier,quier,quier,quier,quier,quier,quier,quiere,1,traduction,Non, Non,158,1,1,1,1,1,1,1,2,,158
159,o,o,o,o,o,o,o,e,1,traduction,Non, Non,159,1,1,1,1,1,1,1,2,,159
160,han,han,an,han,han,sean,han,han,1,traduction,Non, Non,160,2,2,2,2,2,1,2,2,,160
161,acometer,acometer,acometer,cometer,acometer,acometer,acometer,acometer,1,traduction,Non, Non,161,1,1,1,2,1,1,1,1,,161
162,tercera,iii,iii°,iii°,iiij°,terçera,tercera,iii°,1,traduction,Non, Non,162,2,2,2,2,1,2,2,2,,162
163,vezes,vezes,vezes,vegadas,ø,vezes,vezes,vezes,1,traduction,Non, Non,163,2,2,2,1,0,2,2,2,,163
164,toda,toda,toda,toda,toda,la,toda,la,1,traduction,Non, Non,164,1,1,1,1,1,2,1,2,,164
165,el,la,el,el,la,sola,el,la,1,traduction,Non, Non,165,1,3,1,1,3,2,1,3,,165
166,Empero,enpero,pero,Enpero,enpero,enpero,Empero,enpero,1,traduction,Non, Non,166,1,1,2,1,1,1,1,1,,166
167,prudençia,providençia,prudençia,prudençia,providençia,prudençia,prudencia,prudençia,1,traduction,Oui, Non,167,2,1,2,2,1,2,2,2,,167
168,E,ca,Et,e,ca,ca,E,ca,1,traduction,Non, Non,168,2,3,1,2,3,3,2,3,,168
169,en,en,en,en,en,en,con,en,1,traduction,Non, Non,169,1,1,1,1,1,1,2,1,,169
170,do,do,do,do,ø,ø,que,do,2,,Non, Non,170,1,1,1,1,0,0,2,1,,170
171,muestra,muestra,muestra,muestra,ø,ø,demuestra,muestra,2,,Non, Non,171,1,1,1,1,0,0,2,1,,171
172,do,do,o,do,do,ø,ø,ø,2,,Non, Non,172,1,1,2,1,1,0,0,0,,172
173,ø,ø,que,ø,ø,donde,do,donde,2,,Non, Non,173,0,0,2,0,0,1,1,1,,173
174,escoger,escoger,escoger,escojer,acojer,escoger,escojer,escoger,2,,Non, Non,174,2,2,2,2,1,2,2,2,,174
175,ø,o,ø,ø,ø,o,ø,e,2,,Non, Non,175,0,2,0,0,0,2,0,1,,175
176,sentençia,sentençia,sentençia,sentençia,entençion,sentençia,sentencia,sentençia,2,traduction,Oui, Non,176,1,1,1,1,2,1,1,1,,176
177,saber,saber,saber,saber,saber,notar,saber,notar,2,traduction,Oui, Non,177,1,1,1,1,1,2,1,2,,177
178,menester,menester,menester,menester,neçesarias,menester,menester,menester,2,traduction,Non, Non,178,2,2,2,2,1,2,2,2,,178
179,armas,armas,armas,armas,armas,artes,armas,armas,2,traduction,Oui, Non,179,1,1,1,1,1,2,1,1,,179
180,aquellas,aquellas,aquéllas,aquellas,aquellas,muchas,aquellas,muchas,2,traduction,Oui, Non,180,2,2,2,2,2,1,2,1,,180
181,do,do,do,do,do,de,do,do,2,traduction,Non, Non,181,1,1,1,1,1,2,1,1,,181
182,e,e,e,e,e,o,e,o,2,traduction,Non, Non,182,1,1,1,1,1,2,1,2,,182
183,e,e,e,e,e,o,e,o,2,traduction,Non, Non,183,1,1,1,1,1,2,1,2,,183
184,engeniosos,engeñosos,engeniosos,ingeniosos,engeñosos,engañosos,ingeniosos,engeñosos,2,traduction,Oui, Non,184,1,2,1,2,2,3,2,2,,184
185,Mas,Mas,Mas,Mas,mas,e,Mas,Mas,2,traduction,Non, Non,185,1,1,1,1,1,2,1,1,,185
186,ponela,pónela,pónela,pónela,pone,pónela,ponela,pónela,2,traduction,Non, Non,186,1,1,1,1,2,1,1,1,,186
187,sabidores,sabidoras,sabidoras,sabidoras,sabidoras,sabidoras,sabidores,sabidoras,2,traduction,Oui, Non,187,2,1,1,1,1,1,2,1,,187
188,han,son,an,han,son,an,han,han,2,traduction,Non, Non,188,2,1,2,2,1,2,2,2,,188
189,ende,ende,ø,ende,ende,eso,ende,eso,2,traduction,Non, Non,189,1,1,0,1,1,2,1,2,,189
190,fuerça,fuertes,ø,fuerça,fuertes,fuerça,fuerça,fuerça,2,traduction,Non, Non,190,2,1,0,2,1,2,2,2,,190
191,Ca,ca,ø,Ca,e,ca,Ca,ca,2,traduction,Non, Non,191,1,1,0,1,2,1,1,1,,191
192,partes,partes,ø,partes,partes,partes,partes,batallas,2,traduction,Non, Non,192,2,2,0,2,2,2,2,1,,192
193,Ca,ca,Mas,Ca,Ca,ca,Ca,ca,2,traduction,Non, Non,193,1,1,2,1,1,1,1,1,,193
194,seteno,vii,seteno,vii°,vii,seteno,seteno,vii°,2,traduction,Non, Non,194,1,1,1,1,1,1,1,1,,194
195,mas,más,más,muy,más,más,mas,más,2,traduction,Non, Non,195,2,2,2,1,2,2,2,2,,195
196,sol,sol,sol,sol,sol,,sol,sol,2,traduction,Non, Non,196,1,1,1,1,1,2,1,1,,196
197,si,sy,si,si,si,syn,si,sy,2,traduction,Non, Non,197,2,2,2,2,2,1,2,2,,197
198,alongadas,alongados,alongadas,alongadas,arredradas,alongados,alongadas,alongadas,2,traduction,Oui, Non,198,1,2,1,1,3,2,1,1,,198
199,aredradas,arredrados,arredradas,arredradas,allegados,allegados,arredradas,ø,2,traduction,Oui, Non,199,2,3,2,2,1,1,2,0,,199
200,porque,porque,porque,porque,porque,por,porque,por,2,traduction,Non, Non,200,1,1,1,1,1,2,1,2,,200
201,el,el,el,el,el,quel,el,quel,2,traduction,Non, Non,201,1,1,1,1,1,2,1,2,,201
202,muy,muy,muy,muy,muy,más,muy,más,2,traduction,Non, Non,202,1,1,1,1,1,2,1,2,,202
203,menor,mejor,mejor,mejor,mejor,mejor,mejor,mejor,2,traduction,Oui, Non,203,2,1,1,1,1,1,1,1,,203
204,alongados,arredrados,alongados,alongados,alongados,alongados,alongados,alongados,2,traduction,Oui, Non,204,1,2,1,1,1,1,1,1,,204
205,de,de,e,de,de,de,de,de,2,traduction,Non, Non,205,1,1,2,1,1,1,1,1,,205
206,allegados,çercanos,allegados,allegados,çercanos,alongados,allegados,alegados,2,traduction,Oui, Non,206,1,3,1,1,3,4,1,2,,206
207,deuese,dévese,dévese,dévese,dévese,deve,deuese,dévese,2,traduction,Non, Non,207,2,2,2,2,2,1,2,2,,207
208,artes,tierras,artes,artes,tierras,artes,artes,artes,2,traduction,Non, Non,208,2,1,2,2,1,2,2,2,,208
209,quatro,quatro,iiii°,quatro,quatro,quatro,quatro,quatro,2,traduction,Non, Non,209,1,1,2,1,1,1,1,1,,209
210,de,en,de,de,en,en,de,en,2,traduction,Non, Non,210,2,1,2,2,1,1,2,1,,210
211,grandes,grandes,grandes,grandes,rrezios,grandes,grandes,grandes,2,traduction,Oui, Non,211,2,2,2,2,1,2,2,2,,211
212,cometer,acometer,acometer,acometer,acometer,acometer,acometer,acometer,2,traduction,Non, Non,212,2,1,1,1,1,1,1,1,,212
213,a,a,a,a,de,a,a,a,2,traduction,Non, Non,213,2,2,2,2,1,2,2,2,,213
214,condiçion,condiçión,condición,condición,condiçión,condiçión,condicion,conclusión,2,traduction,Oui, Non,214,2,2,2,2,2,2,2,1,,214
215,que,porque,que,que,porque,que,porque,que,2,traduction,Non, Non,215,2,1,2,2,1,2,1,2,,215
216,en,en,en,en,de,en,en,en,2,traduction,Non, Non,216,2,2,2,2,1,2,2,2,,216
217,animalias,animales,animalias,animalias,animalias,animalias,animalias,animalias,2,traduction,Non, Non,217,1,2,1,1,1,1,1,1,,217
218,golpes,golpes,golpes,golpes,golpes,peligros,golpes,peligros,2,traduction,Oui, Non,218,1,1,1,1,1,2,1,2,,218
219,condiçion,condiçión,condiçión,condiçión,condiçión,condiçión,condicion,conclusión,2,traduction,Oui, Non,219,2,2,2,2,2,2,2,1,,219
220,acometen,acometen,acometen,acometen,acometen,acometen,cometen,acometen,2,traduction,Non, Non,220,1,1,1,1,1,1,2,1,,220
221,Ca,et,Ca,Ca,e,Ca,Ca,ca,2,traduction,Non, Non,221,1,3,1,1,2,1,1,1,,221
222,tamaño,tamaño,tamaño,tamaño,tamaño,tamaño,maño,tamaño,2,traduction,Non, Non,222,1,1,1,1,1,1,2,1,,222
223,aun,aun,aun,aún,aun,aún,avn,aún,2,traduction,Non, Non,223,1,1,1,1,1,1,2,1,,223
224,mayor,mayor,mayor,mayor,mayor,mayor,mejor,mayor,2,traduction,Non, Non,224,1,1,1,1,1,1,2,1,,224
225,,çiervos,çiervos,çiervos,siervos,çiervos,cieruos,çiervos,2,traduction,Non, Non,225,1,1,1,1,2,1,1,1,,225
226,a,a,a,a,a,de,a,de,2,traduction,Non, Non,226,1,1,1,1,1,2,1,2,,226
227,sofrir,sofrir,sofrir,sofrir,foyr,sofrir,sofrir,sofrir,2,traduction,Oui, Non,227,2,2,2,2,1,2,2,2,,227
228,E,et,Et,e,e,Ca,E,e,2,traduction,Non, Non,228,2,3,3,2,2,1,2,2,,228
